Edermünde|06634002|634|Schwalm-Eder-Kreis|Kassel
Edertal|06635009|635|Waldeck-Frankenberg|Kassel
Egelsbach|06438003|438|Offenbach|Darmstadt
Ehrenberg (Rhön)|06631005|631|Fulda|Kassel
Ehringshausen|06532008|532|Lahn-Dill-Kreis|Gießen
Eichenzell|06631006|631|Fulda|Kassel
Einhausen|06431006|431|Bergstraße|Darmstadt
Eiterfeld|06631007|631|Fulda|Kassel
Elbtal|06533005|533|Limburg-Weilburg|Gießen
Eltville am Rhein, Stadt|06439003|439|Rheingau-Taunus-Kreis|Darmstadt
Elz|06533006|533|Limburg-Weilburg|Gießen
Eppertshausen|06432005|432|Darmstadt-Dieburg|Darmstadt
Eppstein, Stadt|06436002|436|Main-Taunus-Kreis|Darmstadt
Erbach, Kreisstadt|06437006|437|Odenwaldkreis|Darmstadt
Erlensee|06435007|435|Main-Kinzig-Kreis|Darmstadt
Erzhausen|06432006|432|Darmstadt-Dieburg|Darmstadt
Eschborn, Stadt|06436003|436|Main-Taunus-Kreis|Darmstadt
Eschenburg|06532009|532|Lahn-Dill-Kreis|Gießen
Eschwege, Kreisstadt|06636003|636|Werra-Meißner-Kreis|Kassel
Espenau|06633007|633|Kassel|Kassel
Feldatal|06535003|535|Vogelsbergkreis|Gießen
Felsberg, Stadt|06634003|634|Schwalm-Eder-Kreis|Kassel
Fernwald|06531004|531|Gießen|Gießen
Fischbachtal|06432007|432|Darmstadt-Dieburg|Darmstadt
Flieden|06631008|631|Fulda|Kassel
Flörsbachtal|06435008|435|Main-Kinzig-Kreis|Darmstadt
Flörsheim am Main, Stadt|06436004|436|Main-Taunus-Kreis|Darmstadt
Florstadt, Stadt|06440007|440|Wetteraukreis|Darmstadt
Frankenau, Stadt|06635010|635|Waldeck-Frankenberg|Kassel
Frankenberg (Eder), Stadt|06635011|635|Waldeck-Frankenberg|Kassel
Frankfurt am Main, St.|06412000|412||Darmstadt
Fränkisch-Crumbach|06437007|437|Odenwaldkreis|Darmstadt
Freiensteinau|06535004|535|Vogelsbergkreis|Gießen
Freigericht|06435009|435|Main-Kinzig-Kreis|Darmstadt
Friedberg (Hessen), Kreisstadt|06440008|440|Wetteraukreis|Darmstadt
Friedewald|06632006|632|Hersfeld-Rotenburg|Kassel
Friedrichsdorf, Stadt|06434002|434|Hochtaunuskreis|Darmstadt
Frielendorf|06634004|634|Schwalm-Eder-Kreis|Kassel
Fritzlar, Dom- und Kaiserstadt|06634005|634|Schwalm-Eder-Kreis|Kassel
Fronhausen|06534009|534|Marburg-Biedenkopf|Gießen
Fulda, Stadt|06631009|631|Fulda|Kassel
Fuldabrück|06633008|633|Kassel|Kassel
Fuldatal|06633009|633|Kassel|Kassel
Fürth|06431007|431|Bergstraße|Darmstadt
Gedern, Stadt|06440009|440|Wetteraukreis|Darmstadt
Geisenheim, Stadt|06439004|439|Rheingau-Taunus-Kreis|Darmstadt
Gelnhausen, Barbarossastadt|06435010|435|Main-Kinzig-Kreis|Darmstadt
Gemünden (Felda)|06535005|535|Vogelsbergkreis|Gießen
Gemünden (Wohra), Stadt|06635012|635|Waldeck-Frankenberg|Kassel
Gernsheim, Schöfferstadt|06433004|433|Groß-Gerau|Darmstadt
Gersfeld (Rhön), Stadt|06631010|631|Fulda|Kassel
Gießen, Universitätsstadt|06531005|531|Gießen|Gießen
Gilserberg|06634006|634|Schwalm-Eder-Kreis|Kassel
Ginsheim-Gustavsburg|06433005|433|Groß-Gerau|Darmstadt
Gladenbach, Stadt|06534010|534|Marburg-Biedenkopf|Gießen
Glashütten|06434003|434|Hochtaunuskreis|Darmstadt
Glauburg|06440010|440|Wetteraukreis|Darmstadt
Gorxheimertal|06431008|431|Bergstraße|Darmstadt
Grasellenbach|06431009|431|Bergstraße|Darmstadt
Grävenwiesbach|06434004|434|Hochtaunuskreis|Darmstadt
Grebenau, Stadt|06535006|535|Vogelsbergkreis|Gießen
Grebenhain|06535007|535|Vogelsbergkreis|Gießen
Grebenstein, Stadt|06633010|633|Kassel|Kassel
Greifenstein|06532010|532|Lahn-Dill-Kreis|Gießen
Griesheim, Stadt|06432008|432|Darmstadt-Dieburg|Darmstadt
Groß-Bieberau, Stadt|06432009|432|Darmstadt-Dieburg|Darmstadt
Groß-Gerau, Stadt|06433006|433|Groß-Gerau|Darmstadt
Groß-Rohrheim|06431010|431|Bergstraße|Darmstadt
Groß-Umstadt, Stadt|06432010|432|Darmstadt-Dieburg|Darmstadt
Groß-Zimmern|06432011|432|Darmstadt-Dieburg|Darmstadt
Großalmerode, Stadt|06636004|636|Werra-Meißner-Kreis|Kassel
Großenlüder|06631011|631|Fulda|Kassel
Großkrotzenburg|06435011|435|Main-Kinzig-Kreis|Darmstadt
Grünberg, Stadt|06531006|531|Gießen|Gießen
Gründau|06435012|435|Main-Kinzig-Kreis|Darmstadt
Gudensberg, Stadt|06634007|634|Schwalm-Eder-Kreis|Kassel
Gutsbezirk Kaufunger Wald|06636200|636|Werra-Meißner-Kreis|Kassel
Gutsbezirk Reinhardswald|06633200|633|Kassel|Kassel
Gutsbezirk Spessart|06435200|435|Main-Kinzig-Kreis|Darmstadt
Guxhagen|06634008|634|Schwalm-Eder-Kreis|Kassel
Habichtswald|06633011|633|Kassel|Kassel
Hadamar, Stadt|06533007|533|Limburg-Weilburg|Gießen
Haiger, Stadt|06532011|532|Lahn-Dill-Kreis|Gießen
Haina (Kloster)|06635013|635|Waldeck-Frankenberg|Kassel
Hainburg|06438004|438|Offenbach|Darmstadt
Hammersbach|06435013|435|Main-Kinzig-Kreis|Darmstadt
Hanau, Brüder-Grimm-Stadt, Stadt|06435014|435|Main-Kinzig-Kreis|Darmstadt
Hasselroth|06435015|435|Main-Kinzig-Kreis|Darmstadt
Hattersheim am Main, Stadt|06436005|436|Main-Taunus-Kreis|Darmstadt
Hatzfeld (Eder), Stadt|06635014|635|Waldeck-Frankenberg|Kassel
Hauneck|06632007|632|Hersfeld-Rotenburg|Kassel
Haunetal|06632008|632|Hersfeld-Rotenburg|Kassel
Heidenrod|06439005|439|Rheingau-Taunus-Kreis|Darmstadt
Helsa|06633012|633|Kassel|Kassel
Heppenheim (Bergstraße), Kreisstadt|06431011|431|Bergstraße|Darmstadt
Herborn, Stadt|06532012|532|Lahn-Dill-Kreis|Gießen
Herbstein, Stadt|06535008|535|Vogelsbergkreis|Gießen
Heringen (Werra), Stadt|06632009|632|Hersfeld-Rotenburg|Kassel
Herleshausen|06636005|636|Werra-Meißner-Kreis|Kassel
Hessisch Lichtenau, Stadt|06636006|636|Werra-Meißner-Kreis|Kassel
Heuchelheim|06531007|531|Gießen|Gießen
Heusenstamm, Stadt|06438005|438|Offenbach|Darmstadt
Hilders|06631012|631|Fulda|Kassel
Hirschhorn (Neckar), Stadt|06431012|431|Bergstraße|Darmstadt
Hirzenhain|06440011|440|Wetteraukreis|Darmstadt
Hochheim am Main, Stadt|06436006|436|Main-Taunus-Kreis|Darmstadt
Höchst i. Odw.|06437009|437|Odenwaldkreis|Darmstadt
Hofbieber|06631013|631|Fulda|Kassel
Hofgeismar, Stadt|06633013|633|Kassel|Kassel
